Time,Voltage
811,556
812,446
813,360
814,288
815,302
816,439
817,548
818,635
819,707
820,688
821,556
822,445
823,358
824,287
825,305
826,442
827,546
828,637
829,709
830,689
831,553
832,443
833,355
834,286
835,306
836,444
837,552
838,638
839,709
840,686
841,550
842,442
843,354
844,284
845,309
846,444
847,551
848,640
849,711
850,683
851,548
852,441
853,353
854,285
855,312
856,448
857,555
858,639
859,710
860,682
861,548
862,440
863,353
864,284
865,314
866,449
867,554
868,642
869,713
870,679
871,545
872,437
873,351
874,283
875,317
876,450
877,557
878,643
879,714
880,678
881,543
882,435
883,351
884,281
885,320
886,453
887,558
888,643
889,714
890,675
891,542
892,435
893,349
894,280
895,320
896,455
897,560
898,645
899,715
900,673
901,540
902,434
903,349
904,279
905,322
906,455
907,561
908,648
909,716
910,668
911,537
912,431
913,347
914,276
915,327
916,458
917,562
918,648
919,718
920,667
921,536
922,429
923,344
924,278
925,329
926,460
927,565
928,649
929,718
930,666
931,533
932,430
933,343
934,275
935,330
936,462
937,566
938,648
939,719
940,662
941,531
942,427
943,342
944,275
945,334
946,464
947,569
948,650
949,719
950,661
951,531
952,426
953,342
954,274
955,335
956,466
957,568
958,653
959,722
960,658
961,527
962,423
963,340
964,273
965,337
966,466
967,570
968,655
969,722
970,656
971,526
972,422
973,338
974,273
975,338
976,470
977,570
978,654
979,722
980,653
981,525
982,420
983,337
984,271
985,343
986,472
987,575
988,656
989,723
990,652
991,524
992,420
993,338
994,271
995,346
996,474
997,575
998,656
999,726
1000,648
1001,519
1002,417
1003,335
1004,269
1005,347
1006,473
1007,575
1008,658
1009,727
1010,646
1011,519
1012,415
1013,334
1014,268
1015,349
1016,477
1017,579
1018,660
1019,726
1020,645
1021,516
1022,414
1023,334
1024,267
1025,352
1026,479
1027,576
1028,662
1029,727
1030,641
1031,514
1032,413
1033,332
1034,267
1035,354
1036,481
1037,579
1038,663
1039,729
1040,640
1041,512
1042,412
1043,330
1044,265
1045,357
1046,483
1047,583
1048,662
1049,730
1050,638
1051,512
1052,412
1053,329
1054,264
1055,359
1056,483
1057,584
1058,662
1059,729
1060,634
1061,509
1062,410
1063,328
1064,264
1065,361
1066,486
1067,584
1068,667
1069,728
1070,632
1071,508
1072,409
1073,327
1074,263
1075,362
1076,488
1077,587
1078,667
1079,732
1080,629
1081,507
1082,408
1083,325
1084,263
1085,365
1086,489
1087,587
1088,669
1089,735
1090,628
1091,504
1092,404
1093,326
1094,262
1095,368
1096,491
1097,589
1098,670
1099,733
1100,626
1101,502
1102,403
1103,321
1104,262
1105,369
1106,491
1107,591
1108,671
1109,732
1110,623
1111,500
1112,402
1113,324
1114,261
1115,372
1116,493
1117,591
1118,671
1119,735
1120,620
1121,498
1122,401
1123,322
1124,259
1125,375
1126,497
1127,594
1128,673
1129,737
1130,620
1131,495
1132,399
1133,320
1134,259
1135,376
1136,496
1137,596
1138,673
1139,738
1140,618
1141,497
1142,399
1143,320
1144,256
1145,379
1146,500
1147,597
1148,674
1149,739
1150,615
1151,494
1152,396
1153,318
1154,257
1155,383
1156,501
1157,594
1158,675
1159,739
1160,613
1161,492
1162,394
1163,316
1164,254
1165,381
1166,503
1167,599
1168,678
1169,742
1170,609
1171,490
1172,394
1173,316
1174,253
1175,383
1176,505
1177,600
1178,675
1179,741
1180,607
1181,488
1182,391
1183,313
1184,254
1185,388
1186,506
1187,603
1188,678
1189,744
1190,606
1191,486
1192,391
1193,315
1194,252
1195,390
1196,508
1197,603
1198,680
1199,744
1200,603
1201,483
1202,389
1203,313
1204,253
1205,390
1206,508
1207,604
1208,683
1209,744
1210,602
1211,483
1212,388
1213,311
1214,249
1215,392
1216,511
1217,605
1218,681
1219,745
1220,599
1221,479
1222,388
1223,312
1224,251
1225,395
1226,512
1227,605
1228,684
1229,748
1230,598
1231,481
1232,386
1233,309
1234,248
1235,398
1236,512
1237,608
1238,685
1239,746
1240,597
1241,478
1242,384
1243,309
1244,247
1245,399
1246,517
1247,611
1248,684
1249,749
1250,592
1251,476
1252,382
1253,308
1254,244
1255,403
1256,519
1257,611
1258,688
1259,748
1260,591
1261,476
1262,382
1263,307
1264,243
1265,404
1266,518
1267,612
1268,687
1269,750
1270,589
1271,472
1272,380
1273,304
1274,244
1275,406
1276,522
1277,615
1278,690
1279,750
1280,587
1281,471
1282,379
1283,304
1284,243
1285,408
1286,524
1287,615
1288,691
1289,752
1290,584
1291,470
1292,376
1293,304
1294,242
1295,411
1296,525
1297,616
1298,692
1299,732
1300,579
1301,467
1302,372
1303,298
1304,267
1305,412
1306,526
1307,617
1308,692
1309,727
1310,579
1311,464
1312,375
1313,302
1314,267
1315,415
1316,527
1317,619
1318,695
1319,725
1320,579
1321,464
1322,372
1323,301
1324,270
1325,416
1326,528
1327,620
1328,696
1329,722
1330,576
1331,462
1332,373
1333,299
1334,274
1335,417
1336,532
1337,623
1338,696
1339,720
1340,576
1341,463
1342,371
1343,297
1344,275
1345,419
1346,533
1347,624
1348,698
1349,718
1350,573
1351,460
1352,369
1353,295
1354,278
1355,423
1356,532
1357,624
1358,698
1359,714
1360,569
1361,457
1362,369
1363,296
1364,279
1365,423
1366,534
1367,626
1368,698
1369,711
1370,569
1371,457
1372,366
1373,294
1374,286
1375,426
1376,536
1377,625
1378,700
1379,710
1380,566
1381,456
1382,365
1383,293
1384,288
1385,429
1386,541
1387,628
1388,700
1389,707
1390,566
1391,454
1392,365
1393,294
1394,291
1395,431
1396,540
1397,631
1398,701
1399,705
1400,562
1401,454
1402,363
1403,292
1404,294
1405,432
1406,544
1407,630
1408,704
1409,699
1410,560
1411,451
1412,362
1413,292
1414,296
1415,434
1416,543
1417,633
1418,706
1419,698
1420,559
1421,450
1422,361
1423,290
1424,297
1425,435
1426,543
1427,633
1428,707
1429,695
1430,557
1431,446
1432,361
1433,289
1434,299
1435,436
1436,548
1437,634
1438,707
1439,692
1440,554
1441,446
1442,360
1443,288
1444,305
1445,439
1446,548
1447,637
1448,706
1449,690
1450,553
1451,444
1452,357
1453,288
1454,306
1455,442
1456,551
1457,637
1458,708
1459,688
1460,552
1461,443
1462,355
1463,286
1464,309
1465,444
1466,550
1467,638
1468,709
1469,685
1470,549
1471,441
1472,353
1473,286
1474,311
1475,446
1476,554
1477,640
1478,711
1479,680
1480,549
1481,440
1482,353
1483,284
1484,312
1485,445
1486,554
1487,640
1488,712
1489,679
1490,544
1491,440
1492,353
1493,284
1494,314
1495,450
1496,557
1497,641
1498,714
1499,678
1500,543
1501,435
1502,352
1503,281
1504,318
1505,451
1506,558
1507,645
1508,714
1509,676
1510,541
1511,435
1512,347
1513,282
1514,321
1515,454
1516,559
1517,644
1518,713
1519,671
1520,540
1521,433
1522,347
1523,279
1524,323
1525,454
1526,560
1527,646
1528,716
1529,671
1530,538
1531,433
1532,346
1533,278
1534,324
1535,457
1536,564
1537,647
1538,717
1539,668
1540,535
1541,431
1542,344
1543,278
1544,327
1545,459
1546,565
1547,648
1548,718
1549,667
1550,536
1551,429
1552,344
1553,276
1554,329
1555,460
1556,565
1557,649
1558,719
1559,663
1560,534
1561,429
1562,344
1563,275
1564,332
1565,462
1566,567
1567,650
1568,718
1569,662
1570,529
1571,425
1572,340
1573,275
1574,333
1575,464
1576,568
1577,651
1578,719
1579,660
1580,530
1581,424
1582,340
1583,273
1584,335
1585,465
1586,569
1587,653
1588,721
1589,656
1590,526
1591,423
1592,341
1593,273
1594,338
1595,468
1596,569
1597,654
1598,721
1599,653
1600,526
1601,422
1602,339
1603,271
1604,343
1605,470
1606,574
1607,655
1608,722
1609,652
1610,523
1611,419
1612,336
1613,270
1614,343
1615,472
1616,574
1617,657
1618,726
1619,648
1620,519
1621,420
1622,335
1623,270
1624,346
1625,474
1626,576
1627,658
1628,725
1629,648
1630,519
1631,418
1632,336
1633,270
1634,349
1635,475
1636,576
1637,659
1638,726
1639,644
1640,518
1641,415
1642,334
1643,268
1644,351
1645,479
1646,579
1647,660
1648,728
1649,643
1650,515
1651,413
1652,333
1653,269
1654,353
1655,478
1656,578
1657,662
1658,728
1659,640
1660,512
1661,413
1662,332
1663,268
1664,356
1665,479
1666,581
1667,662
1668,728
1669,637
1670,511
1671,411
1672,328
1673,266
1674,356
1675,481
1676,584
1677,665
1678,731
1679,635
1680,509
1681,408
1682,329
1683,265
1684,361
1685,485
1686,585
1687,665
1688,732
1689,633
1690,510
1691,409
1692,328
1693,265
1694,363
1695,485
1696,585
1697,666
1698,732
1699,631
1700,509
1701,409
1702,328
1703,265
1704,364
1705,489
1706,588
1707,667
1708,733
1709,630
1710,505
1711,406
1712,326
1713,261
1714,365
1715,488
1716,588
1717,667
1718,733
1719,629
1720,504
1721,404
1722,325
1723,259
1724,370
1725,492
1726,591
1727,670
1728,734
1729,621
1730,501
1731,401
1732,321
1733,261
1734,372
1735,493
1736,591
1737,671
1738,736
1739,622
1740,500
1741,401
1742,322
1743,260
1744,373
1745,496
1746,594
1747,673
1748,737
1749,621
1750,497
1751,400
1752,321
1753,257
1754,377
1755,496
1756,594
1757,674
1758,736
1759,618
1760,495
1761,398
1762,317
1763,258
1764,378
1765,499
1766,597
1767,674
1768,739
1769,614
1770,496
1771,398
1772,317
1773,258
1774,377
1775,500
1776,596
1777,674
1778,739
1779,614
1780,494
1781,397
1782,317
1783,256
1784,381
1785,501
1786,598
1787,676
1788,739
1789,610
1790,491
1791,393
1792,315
1793,255
1794,384
1795,503
1796,599
1797,678
1798,742
1799,609
1800,489
1801,394
1802,315
1803,253
1804,385
1805,507
1806,602
1807,678
1808,742
1809,604
1810,487
1811,390
1812,315
1813,253
1814,388
1815,506
1816,600
1817,680
1818,743
1819,604
1820,486
1821,389
1822,312
1823,251
1824,389
1825,510
1826,605
1827,681
1828,743
1829,604
1830,485
1831,388
1832,311
1833,252
1834,392
1835,510
1836,606
1837,683
1838,746
1839,601
1840,482
1841,387
1842,312
1843,250
1844,395
1845,511
1846,606
1847,684
1848,745
1849,598
1850,482
1851,385
1852,311
1853,249
1854,397
1855,513
1856,608
1857,685
1858,746
1859,597
1860,479
1861,384
1862,309
1863,248
1864,399
1865,516
1866,608
1867,686
1868,748
1869,595
1870,479
1871,384
1872,309
1873,248
1874,401
1875,518
1876,612
1877,687
1878,748
1879,592
1880,476
1881,383
1882,306
1883,243
1884,402
1885,519
1886,611
1887,687
1888,749
1889,590
1890,473
1891,381
1892,304
1893,242
1894,403
1895,520
1896,612
1897,689
1898,750
1899,587
1900,473
1901,379
1902,302
1903,243
1904,406
1905,522
1906,616
1907,692
1908,751
1909,585
1910,469
1911,379
1912,303
1913,242
1914,409
1915,523
1916,616
1917,692
1918,751
1919,583
1920,468
1921,378
1922,304
1923,263
1924,411
1925,526
1926,618
1927,693
1928,727
1929,583
1930,467
1931,375
1932,303
1933,266
1934,411
1935,528
1936,618
1937,694
1938,727
1939,580
1940,465
1941,374
1942,302
1943,268
1944,415
1945,530
1946,622
1947,694
1948,723
1949,577
1950,466
1951,374
1952,300
1953,273
1954,418
1955,530
1956,623
1957,695
1958,721
1959,575
1960,462
1961,372
1962,300
1963,274
1964,419
1965,532
1966,623
1967,697
1968,719
1969,574
1970,462
1971,371
1972,296
1973,279
1974,418
1975,534
1976,622
1977,697
1978,715
1979,572
1980,460
1981,369
1982,296
1983,280
1984,424
1985,536
1986,625
1987,699
1988,712
1989,569
1990,455
1991,368
1992,296
1993,284
1994,424
1995,537
1996,626
1997,701
1998,708
1999,569
2000,457
2001,367
2002,294
2003,288
2004,427
2005,536
2006,627
2007,700
2008,706
2009,566
2010,455
2011,364
2012,293
2013,289
2014,429
2015,541
2016,629
2017,702
2018,704
2019,564
2020,454
2021,365
2022,293
2023,290
2024,432
2025,541
2026,631
2027,702
2028,702
2029,562
2030,451
2031,362
2032,290
2033,295
2034,433
2035,542
2036,632
2037,702
2038,700
2039,560
2040,450
2041,362
2042,291
2043,296
2044,436
2045,543
2046,633
2047,704
2048,695
2049,560
2050,449
2051,361
2052,289
2053,298
2054,437
2055,547
2056,634
2057,706
2058,695
2059,556
2060,446
2061,358
2062,287
2063,299
2064,440
2065,548
2066,636
2067,707
2068,692
2069,555
2070,444
2071,357
2072,286
2073,306
2074,442
2075,548
2076,637
2077,709
2078,689
2079,553
2080,444
2081,353
2082,285
2083,307
2084,443
2085,551
2086,637
2087,708
2088,687
2089,550
2090,442
2091,356
2092,286
2093,309
2094,445
2095,552
2096,640
2097,709
2098,684
2099,547
2100,440
2101,354
2102,284
2103,311
2104,444
2105,555
2106,640
2107,711
2108,681
2109,548
2110,440
2111,353
2112,282
2113,313
2114,449
2115,555
2116,641
2117,713
2118,678
2119,546
2120,437
2121,350
2122,282
2123,315
2124,451
2125,555
2126,643
2127,713
2128,677
2129,543
2130,435
2131,349
2132,280
2133,319
2134,453
2135,559
2136,644
2137,711
2138,673
2139,542
2140,436
2141,349
2142,278
2143,322
2144,454
2145,561
2146,645
2147,716
2148,671
2149,540
2150,433
2151,349
2152,280
2153,324
2154,457
2155,563
2156,648
2157,715
2158,669
2159,536
2160,433
2161,346
2162,278
2163,327
2164,458
2165,564
2166,648
2167,717
2168,667
2169,535
2170,429
2171,346
2172,278
2173,329
2174,459
2175,565
2176,650
2177,718
2178,665
2179,534
2180,428
2181,343
2182,277
2183,331
2184,462
2185,565
2186,652
2187,720
2188,663
2189,530
2190,426
2191,342
2192,277
2193,333
2194,463
2195,564
2196,652
2197,722
2198,659
2199,530
2200,425
2201,340
2202,273
2203,334
2204,466
2205,570
2206,652
2207,720
2208,658
2209,525
2210,424
2211,340
2212,274
2213,337
2214,467
2215,571
2216,654
2217,721
2218,655
2219,525
2220,424
2221,340
2222,272
2223,337
2224,469
2225,570
2226,653
2227,721
2228,653
2229,523
2230,422
2231,338
2232,272
2233,342
2234,469
2235,573
2236,655
2237,724
2238,651
2239,522
2240,420
2241,335
2242,272
2243,346
2244,472
2245,574
2246,658
2247,725
2248,648
2249,519
2250,415
2251,335
2252,271
2253,348
2254,472
2255,576
2256,658
2257,725
2258,646
2259,516
2260,417
2261,334
2262,269
2263,348
2264,477
2265,578
2266,658
2267,728
2268,644
2269,517
2270,415
2271,333
2272,267
2273,352
2274,477
2275,580
2276,661
2277,727
2278,642
2279,516
2280,415
2281,333
2282,268
2283,355
2284,480
2285,582
2286,663
2287,729
2288,639
2289,514
2290,413
2291,330
2292,267
2293,355
2294,483
2295,583
2296,661
2297,730
2298,636
2299,511
2300,411
2301,331
2302,265
2303,357
2304,483
2305,582
2306,664
2307,730
2308,636
2309,511
2310,411
2311,328
2312,264
2313,361
2314,484
2315,585
2316,665
2317,730
2318,633
2319,508
2320,408
2321,326
2322,264
2323,364
2324,487
2325,588
2326,667
2327,732
2328,630
2329,505
2330,407
2331,325
2332,262
2333,366
2334,489
2335,588
2336,668
2337,732
2338,624
2339,504
2340,404
2341,326
2342,261
2343,368
2344,490
2345,589
2346,670
2347,734
2348,625
2349,503
2350,401
2351,325
2352,260
2353,371
2354,492
2355,590
2356,671
2357,735
2358,624
2359,501
2360,403
2361,324
2362,261
2363,372
2364,495
2365,591
2366,672
2367,736
2368,620
2369,499
2370,400
2371,321
2372,259
2373,374
2374,495
2375,594
2376,673
2377,736
2378,620
2379,498
2380,399
2381,320
2382,258
2383,376
2384,496
2385,595
2386,674
2387,739
2388,617
2389,496
2390,397
2391,319
2392,257
2393,378
2394,498
2395,597
2396,675
2397,739
2398,615
2399,495
2400,396
2401,317
2402,255
2403,381
2404,499
2405,599
2406,677
2407,741
2408,612
2409,493
2410,395
2411,317
2412,254
2413,384
2414,500
2415,600
2416,676
2417,742
2418,610
2419,490
2420,392
2421,317
2422,254
2423,385
2424,504
2425,598
2426,677
2427,743
2428,608
2429,488
2430,391
2431,316
2432,253
2433,387
2434,507
2435,601
2436,681
2437,743
2438,607
2439,486
2440,391
2441,313
2442,252
2443,391
2444,508
2445,603
2446,681
2447,742
2448,604
2449,486
2450,389
2451,309
2452,252
2453,390
2454,510
2455,605
2456,683
2457,744
2458,602
2459,485
2460,389
2461,312
2462,249
2463,393
2464,512
2465,605
2466,684
2467,746
2468,598
2469,482
2470,386
2471,310
2472,247
2473,394
2474,513
2475,607
2476,685
2477,746
2478,597
2479,479
2480,386
2481,308
2482,250
2483,397
2484,515
2485,609
2486,686
2487,746
2488,595
2489,478
2490,385
2491,309
2492,249
2493,399
2494,517
2495,610
2496,687
2497,748
2498,592
2499,478
2500,383
2501,308
2502,245
2503,402
2504,515
2505,612
2506,688
2507,749
2508,591
2509,475
2510,383
2511,307
2512,241
2513,403
2514,518
2515,611
2516,689
2517,749
2518,588
2519,474
2520,380
2521,306
2522,242
2523,407
2524,521
2525,613
2526,688
2527,751
2528,586
2529,472
2530,379
2531,304
2532,242
2533,408
2534,524
2535,616
2536,689
2537,751
2538,586
2539,471
2540,377
2541,303
2542,240
2543,410
2544,524
2545,617
2546,691
2547,732
2548,583
2549,468
2550,375
2551,302
2552,266
2553,411
2554,527
2555,619
2556,692
2557,730
2558,582
2559,467
2560,374
2561,303
2562,267
2563,414
2564,527
2565,621
2566,695
2567,726
2568,579
2569,465
2570,372
2571,299
2572,272
2573,416
2574,529
2575,622
2576,694
2577,721
2578,578
2579,463
2580,373
2581,298
2582,272
2583,418
2584,531
2585,622
2586,697
2587,720
2588,573
2589,461
2590,372
2591,297
2592,276
2593,419
2594,533
2595,623
2596,696
2597,718
2598,573
2599,460
2600,369
2601,298
2602,278
2603,423
2604,535
2605,625
2606,699
2607,713
2608,571
2609,458
2610,368
2611,294
2612,282
2613,426
2614,534
2615,624
2616,699
2617,709
2618,567
2619,458
2620,367
2621,294
2622,284
2623,427
2624,538
2625,627
2626,698
2627,709
2628,568
2629,456
2630,365
2631,292
2632,287
2633,428
2634,538
2635,628
2636,702
2637,705
2638,565
2639,452
2640,365
2641,292
2642,289
2643,431
2644,543
2645,630
2646,702
2647,702
2648,563
2649,451
2650,362
2651,292
2652,294
2653,434
2654,543
2655,631
2656,702
2657,700
2658,561
2659,450
2660,361
2661,291
2662,294
2663,435
2664,544
2665,630
2666,703
2667,698
2668,560
2669,449
2670,360
2671,289
2672,299
2673,436
2674,547
2675,632
2676,707
2677,695
2678,556
2679,447
2680,360
2681,289
2682,299
2683,438
2684,546
2685,635
2686,704
2687,693
2688,554
2689,446
2690,358
2691,289
2692,304
2693,441
2694,549
2695,637
2696,705
2697,690
2698,553
2699,446
2700,355
2701,287
2702,307
2703,442
2704,550
2705,637
2706,708
2707,686
2708,551
2709,442
2710,356
2711,286
2712,308
2713,443
2714,552
2715,638
2716,710
2717,686
2718,551
2719,440
2720,353
2721,284
2722,311
2723,446
2724,555
2725,641
2726,710
2727,682
2728,545
2729,439
2730,354
2731,283
2732,313
2733,448
2734,556
2735,641
2736,711
2737,681
2738,546
2739,439
2740,352
2741,284
2742,316
2743,450
2744,557
2745,642
2746,713
2747,679
2748,545
2749,438
2750,352
2751,282
2752,318
2753,451
2754,559
2755,640
2756,714
2757,674
2758,540
2759,435
2760,350
2761,281
2762,319
2763,454
2764,560
2765,646
2766,714
2767,674
2768,539
2769,433
2770,345
2771,280
2772,323
2773,456
2774,561
2775,644
2776,715
2777,671
2778,539
2779,432
2780,346
2781,278
2782,325
2783,458
2784,563
2785,646
2786,715
2787,669
2788,536
2789,430
2790,345
2791,277
2792,327
2793,459
2794,565
2795,648
2796,715
2797,666
2798,533
2799,431
2800,345
2801,278
2802,331
2803,461
2804,566
2805,647
2806,718
2807,662
2808,533
2809,427
2810,342
2811,273
2812,332
2813,461
2814,566
2815,650
2816,721
2817,662
2818,532
2819,427
2820,343
2821,275
2822,334
2823,464
2824,567
2825,654
2826,720
2827,658
2828,530
2829,425
2830,340
2831,273
2832,336
2833,464
2834,568
2835,651
2836,722
2837,656
2838,527
2839,423
2840,338
2841,271
2842,337
2843,467
2844,569
2845,654
2846,720
2847,656
2848,526
2849,423
2850,338
2851,274
2852,342
2853,469
2854,572
2855,655
2856,723
2857,651
2858,522
2859,422
2860,337
2861,272
2862,342
2863,473
2864,574
2865,656
2866,725
2867,650
2868,521
2869,418
2870,335
2871,271
2872,346
2873,473
2874,575
2875,657
2876,723
2877,648
2878,520
2879,418
2880,336
2881,269
2882,348
2883,477
2884,579
2885,660
2886,727
2887,645
2888,517
2889,416
2890,335
2891,269
2892,352
2893,478
2894,579
2895,661
2896,729
2897,642
2898,516
2899,415
2900,333
2901,267
2902,353
2903,479
2904,579
2905,661
2906,730
2907,641
2908,515
2909,413
2910,332
2911,268
2912,353
2913,481
2914,581
2915,660
2916,730
2917,636
2918,511
2919,413
2920,332
2921,266
2922,358
2923,481
2924,582
2925,664
2926,731
2927,636
2928,511
2929,407
2930,330
2931,265
2932,360
2933,483
2934,586
2935,665
2936,732
2937,633
2938,508
2939,408
2940,328
2941,264
2942,361
2943,486
2944,586
2945,665
2946,733
2947,631
2948,506
2949,408
2950,328
2951,262
2952,361
2953,487
2954,586
2955,666
2956,734
2957,629
2958,505
2959,405
2960,326
2961,260
2962,366
2963,491
2964,589
2965,669
2966,734
2967,627
2968,505
2969,405
2970,324
2971,262
2972,369
2973,491
2974,589
2975,669
2976,735
2977,623
2978,503
2979,402
2980,322
2981,260
2982,371
2983,494
2984,591
2985,671
2986,736
2987,620
2988,500
2989,400
2990,323
2991,260
2992,374
2993,492
2994,593
2995,669
2996,738
